scenario_id,persona_id,weather,disruption,mode,recommender,generation_feasible,total_travel_time_min,interest_precision,interest_recall,interest_group_coverage,outdoor_stop_count,generation_response_ms,stop_count,disruption_effect,post_adapt_feasible,plan_change_ratio,reopt_response_ms,reoptimized
P3-clear-blocked-static,P3,clear,blocked,static,content,true,49.0,1.0000,1.0000,1.0000,1,1007.4,4,blocked_infeasible,false,0.0000,,false
P3-rain-none-adaptive,P3,rain,none,adaptive,content,true,49.0,1.0000,1.0000,1.0000,1,1014.8,4,,,,,
P3-rain-none-static,P3,rain,none,static,content,true,49.0,1.0000,1.0000,1.0000,1,1009.6,4,,,,,
P3-rain-moderate-adaptive,P3,rain,moderate,adaptive,content,true,49.0,1.0000,1.0000,1.0000,1,1199.0,4,delayed_but_feasible,true,0.0000,24.0,false
P3-rain-moderate-static,P3,rain,moderate,static,content,true,49.0,1.0000,1.0000,1.0000,1,1837.4,4,delayed_feasible,true,0.0000,,false
P3-rain-heavy-adaptive,P3,rain,heavy,adaptive,content,true,49.0,1.0000,1.0000,1.0000,1,2071.6,4,heavy_delay_feasible,true,0.0000,35.0,false
P3-rain-heavy-static,P3,rain,heavy,static,content,true,49.0,1.0000,1.0000,1.0000,1,2065.2,4,delayed_feasible,true,0.0000,,false
P3-rain-blocked-adaptive,P3,rain,blocked,adaptive,content,true,49.0,1.0000,1.0000,1.0000,1,1852.0,4,blocked_reoptimized,true,0.5000,231.0,true
P3-rain-blocked-static,P3,rain,blocked,static,content,true,49.0,1.0000,1.0000,1.0000,1,1900.8,4,blocked_infeasible,false,0.0000,,false
P4-clear-none-adaptive,P4,clear,none,adaptive,content,true,31.0,1.0000,1.0000,1.0000,4,1990.8,7,,,,,
P4-clear-none-static,P4,clear,none,static,content,true,31.0,1.0000,1.0000,1.0000,4,1606.2,7,,,,,
P4-clear-moderate-adaptive,P4,clear,moderate,adaptive,content,true,31.0,1.0000,1.0000,1.0000,4,1605.0,7,delayed_infeasible,false,0.0000,12.0,false
P4-clear-moderate-static,P4,clear,moderate,static,content,true,31.0,1.0000,1.0000,1.0000,4,1682.4,7,delayed_infeasible,false,0.0000,,false
P4-clear-heavy-adaptive,P4,clear,heavy,adaptive,content,true,31.0,1.0000,1.0000,1.0000,4,1697.0,7,heavy_delay_feasible,true,0.8571,504.0,true
P4-clear-heavy-static,P4,clear,heavy,static,content,true,31.0,1.0000,1.0000,1.0000,4,1616.8,7,delayed_infeasible,false,0.0000,,false
P4-clear-blocked-adaptive,P4,clear,blocked,adaptive,content,true,31.0,1.0000,1.0000,1.0000,4,1702.2,7,blocked_reoptimized,true,0.8571,496.0,true
P4-clear-blocked-static,P4,clear,blocked,static,content,true,31.0,1.0000,1.0000,1.0000,4,1626.2,7,blocked_infeasible,false,0.0000,,false
P4-rain-none-adaptive,P4,rain,none,adaptive,content,true,8.0,1.0000,0.7500,0.7500,1,1692.8,5,,,,,
P4-rain-none-static,P4,rain,none,static,content,true,31.0,1.0000,1.0000,1.0000,4,1599.4,7,,,,,
P4-rain-moderate-adaptive,P4,rain,moderate,adaptive,content,true,8.0,1.0000,0.7500,0.7500,1,1632.4,5,delayed_but_feasible,true,0.0000,11.0,false
P4-rain-moderate-static,P4,rain,moderate,static,content,true,31.0,1.0000,1.0000,1.0000,4,1582.2,7,delayed_infeasible,false,0.0000,,false
